,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,14861.1747,0.0,2652.2,3591.9,4948.5,6195.5
1,AriaFB,6,0,9973,12316.387630000001,2134.2399799999985,6315.0,7022.0,8694.3,11769.8
2,Aria,6,0,9973,12350.890619999998,2117.1196700000014,6289.7,7047.6,8579.6,12282.3
3,Sparkle,6,0,9973,14034.883909999999,268.38899000000094,489.8,507.9,559.1,972.5
4,Spectrum,6,0,9973,12985.957010000002,180.85958999999565,537.0,557.3,638.3,876.6
5,Serial,6,0,9973,4494.8,0.0,316.2,411.4,430.6,443.3
6,Calvin,12,0,9973,22051.6243,0.0,1620.3,2184.1,3159.9,4080.3
7,AriaFB,12,0,9973,17494.4788,3001.6910700000008,4393.6,4968.0,6151.0,8372.1
8,Aria,12,0,9973,17643.580930000004,3012.7451399999964,4353.1,4931.8,6099.1,8065.4
9,Sparkle,12,0,9973,23895.29468,887.4064500000037,496.8,517.2,938.7,1192.8
10,Spectrum,12,0,9973,23120.370499999997,606.4526699999988,541.1,562.0,710.2,964.8
11,Serial,12,0,9973,4489.7,0.0,89.9,411.5,431.0,442.5
12,Calvin,18,0,9973,25644.713020000003,0.0,1211.5,1663.6,2482.3,3180.9
13,AriaFB,18,0,9973,21190.904870000002,3462.131790000002,3371.0,3804.8,4706.1,6767.1
14,Aria,18,0,9973,21206.27227,3456.5673500000003,3368.6,3802.6,4652.4,6604.6
15,Sparkle,18,0,9973,31977.99336,1784.3749000000068,505.2,547.7,973.0,1398.3
16,Spectrum,18,0,9973,32596.21324,1249.2634699999994,544.9,575.2,800.3,991.8
17,Serial,18,0,9973,4492.05,0.0,202.4,411.2,430.9,441.6
18,Calvin,24,0,9973,27804.39961,0.0,1230.0,1656.2,2418.6,3121.1
19,AriaFB,24,0,9973,24274.16546,4159.119799999998,3110.0,3507.5,4307.8,5749.9
20,Aria,24,0,9973,24363.38903,4150.777720000001,3076.1,3476.1,4276.0,5500.3
21,Sparkle,24,0,9973,38558.44355,2851.702939999994,513.7,852.2,1000.3,1460.2
22,Spectrum,24,0,9973,41587.48347,2045.6505100000068,551.0,608.2,853.4,1091.1
23,Serial,24,0,9973,4495.1,0.0,165.8,411.6,430.4,442.0
24,Calvin,30,0,9973,30628.04741,0.0,1054.0,1359.5,2068.5,2699.1
25,AriaFB,30,0,9973,26158.282930000005,4280.258470000001,2717.0,3031.5,3604.4,4288.8
26,Aria,30,0,9973,26115.64908,4250.250839999996,2723.1,3038.3,3608.7,4202.4
27,Sparkle,30,0,9973,44086.95018,4030.827480000007,526.6,923.6,1205.7,1643.5
28,Spectrum,30,0,9973,49931.40930000001,2994.5677499999933,561.4,650.4,874.9,1031.7
29,Serial,30,0,9973,4502.3,0.0,124.9,411.2,430.4,442.4
30,Calvin,36,0,9973,30653.71409,0.0,925.1,1128.3,1749.9,2185.3
31,AriaFB,36,0,9973,26152.977689999996,3623.3461500000003,2168.8,2384.3,2821.0,3188.4
32,Aria,36,0,9973,26339.98223,3638.1642599999964,2146.7,2360.9,2796.6,3160.4
33,Sparkle,36,0,9973,48690.454639999996,5255.954050000012,597.1,952.3,1382.3,1711.1
34,Spectrum,36,0,9973,57573.81494,4025.1155900000012,574.7,688.8,904.7,1043.7
35,Serial,36,0,9973,4507.9,0.0,163.8,411.2,430.1,442.2
