,protocol,threads,zipf,table_partition,commit,abort
0,Sparkle,1,0,1024,45455.0,0.5
1,Sparkle,2,0,1024,70833.5832,0.4998000000050524
2,Sparkle,3,0,1024,89362.5,1.0
3,Sparkle,4,0,1024,104456.2719,1.9989999999961583
4,Sparkle,5,0,1024,118945.5544,2.4975000000122236
5,Sparkle,6,0,1024,126449.2754,4.497700000007171
6,Sparkle,12,0,1024,178384.4234,6.490200000000186
7,Sparkle,18,0,1024,215223.9401,9.975099999981467
8,Sparkle,24,0,1024,238374.1903,10.961700000014389
9,Sparkle,30,0,1024,258158.3665,15.438300000008894
0,Sparkle,6,0,9973,287435.7607,1.3330999999889173
1,Sparkle,12,0,9973,539844.052,4.8316999999806285
2,Sparkle,18,0,9973,764183.5749,561.3859999999404
3,Sparkle,24,0,9973,981022.3147,282.0982999999542
4,Sparkle,30,0,9973,1171951.2479,163.06159999989904
5,Sparkle,36,0,9973,1210571.286,429.21309999981895
